00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-48,2020-01-09 18:58:57.255183
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-46,2020-01-09 18:58:57.580173
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-46,2020-01-09 18:58:57.903407
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-54,2020-01-09 18:58:58.558159
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-64,2020-01-09 18:58:58.888591
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-38,2020-01-09 18:58:59.546186
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-38,2020-01-09 18:58:59.870641
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-39,2020-01-09 18:59:00.849048
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-61,2020-01-09 18:59:01.174387
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-63,2020-01-09 18:59:01.495537
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-64,2020-01-09 18:59:01.822001
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-43,2020-01-09 18:59:35.407500
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-42,2020-01-09 18:59:35.731499
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-43,2020-01-09 18:59:36.392605
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-42,2020-01-09 18:59:36.714656
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-61,2020-01-09 18:59:37.037390
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-38,2020-01-09 18:59:52.656283
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-39,2020-01-09 18:59:53.311072
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-38,2020-01-09 18:59:54.281501
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-62,2020-01-09 18:59:54.936642
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-61,2020-01-09 18:59:55.259045
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-45,2020-01-09 18:59:55.910085
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-62,2020-01-09 18:59:56.560857
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-37,2020-01-09 19:00:21.665145
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-52,2020-01-09 19:00:21.988643
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-55,2020-01-09 19:00:22.641213
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-51,2020-01-09 19:00:22.966104
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-48,2020-01-09 19:00:23.288956
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-65,2020-01-09 19:00:23.615071
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-66,2020-01-09 19:00:24.267188
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-45,2020-01-09 19:00:24.596795
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-44,2020-01-09 19:00:24.914581
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-59,2020-01-09 19:00:25.237784
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-67,2020-01-09 19:00:25.559425
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-51,2020-01-09 19:00:25.890483
00000000-b53c-1001-b000-001c4d5c1dd0,880,867,-51,2020-01-09 19:00:26.215093
